institution_name,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source,description
"Government College of Architecture, Hyderabad",CDN,Adidas India,6,9858,online,False,General,"Assist senior engineers/researchers on cdn tasks, from requirements to testing and delivery."
"Sreenidhi Institute of Engineering and Technology, Sambalpur",Major Incident,P&G India,7,0,offline,True,General,"Hands-on major incident internship: build, test and ship a real feature under a mentor."
"Symbiosis Institute of Engineering and Management, Rajkot",API Design,Capgemini,9,7404,offline,False,General,"Hands-on api design internship: build, test and ship a real feature under a mentor."
"Matrusri Institute of Engineering and Management, Srinagar",Humanitarian Logistics,Voltas,8,3717,offline,False,Indian Army,Collaborate across teams on humanitarian logistics initiatives; present findings to stakeholders.
"Srinivasa Institute of Technology and Science, Nashik",VLSI Design,Marico,6,8097,online,False,General,"Support data collection, analysis and reporting for the vlsi design practice at Vora, Koshy and Rana."
"Velammal College of Engineering and Technology, Chennai",Railway Operations,Railway Board,9,0,online,False,General,"Hands-on railway operations internship: build, test and ship a real feature under a mentor."
"G.L. Bajaj Engineering College, Mysuru",Predictive Maintenance,Parle Products,8,0,hybrid,False,General,"Work on live projects with the Sood, Chokshi and Lad predictive maintenance team; contribute to sprint deliverables and documentation."
"Andhra Institute of Management Studies, Bokaro",Computational Chemistry,Dunzo,8,13507,offline,False,CDAC,"Support data collection, analysis and reporting for the computational chemistry practice at Mitter-Handa."
"Government Engineering College, Shimla",MLOps,Big Bazaar (Future),6,8836,offline,False,General,Collaborate across teams on mlops initiatives; present findings to stakeholders.
"Chaitanya College of Fine and Applied Arts, Madurai",Executive Search,Dell Technologies,9,13332,online,False,CDAC,Collaborate across teams on executive search initiatives; present findings to stakeholders.
"Geethanjali Institute of Technology, Kanpur",Data Profiling,upGrad,6,3541,offline,False,Indian Army,Work on live projects with the Bajaj-Dugal data profiling team; contribute to sprint deliverables and documentation.
"National Institute of Technology, Kolkata",Passwordless,Ather Energy,8,0,offline,False,General,Learn industry workflows in passwordless while supporting day-to-day operations and quality checks.
"Vels Institute of Technology and Science, Solapur",Reverse Engineering,Cognizant,6,7767,offline,False,CDAC,"Hands-on reverse engineering internship: build, test and ship a real feature under a mentor."
"Government Institute of Management, Visakhapatnam",Sanctions Screening,Adidas India,9,8304,offline,False,CDAC,Learn industry workflows in sanctions screening while supporting day-to-day operations and quality checks.
"Chaitanya Institute of Science and Technology, Kozhikode",Reinforcement Learning,NTPC,9,11244,online,False,Indian Army,"Hands-on reinforcement learning internship: build, test and ship a real feature under a mentor."
"Anurag Polytechnic, Amritsar",Microbiology,Cognizant,7,8051,online,False,General,Collaborate across teams on microbiology initiatives; present findings to stakeholders.
"Reva Institute of Technology and Science, Howrah",Supply Chain Security,Amazon India,6,9567,offline,False,TULIP,Collaborate across teams on supply chain security initiatives; present findings to stakeholders.
"Siddhartha Institute of Engineering and Polytechnic, Lucknow",Elder Care Technology,MakeMyTrip,8,13964,offline,False,General,Work on live projects with the Bhatti Group elder care technology team; contribute to sprint deliverables and documentation.
"Indian Institute of Information Technology, Korba",Compiler Design,Royal Enfield,6,14971,online,False,General,"Assist senior engineers/researchers on compiler design tasks, from requirements to testing and delivery."
"Vishwakarma Institute of Science and Technology, Ballari",Hydrology,Fabindia,9,0,hybrid,True,General,"Hands-on hydrology internship: build, test and ship a real feature under a mentor."
"Bharat Institute of Engineering and Management, Varanasi",Social Work,Oyo,6,12437,offline,False,TULIP,Learn industry workflows in social work while supporting day-to-day operations and quality checks.
"Vasavi Institute of Business Management, Balasore",Soft Robotics,Mahindra & Mahindra,8,0,online,True,General,Learn industry workflows in soft robotics while supporting day-to-day operations and quality checks.
"PES School of Business Administration, Thrissur",ASR,Voltas,9,0,online,False,General,"Assist senior engineers/researchers on asr tasks, from requirements to testing and delivery."
"Government Engineering College, Anantapur",Geofencing,State Bank of India,6,8875,offline,False,General,"Support data collection, analysis and reporting for the geofencing practice at Uppal, Sachdeva and Madan."
"Government College of Architecture, North Delhi",Fuel Cells,Infosys,9,7711,online,False,TULIP,Collaborate across teams on fuel cells initiatives; present findings to stakeholders.
"Bapatla Institute of Science and Technology, Guwahati",Remote Patient Monitoring,Fabindia,9,6325,offline,True,General,Collaborate across teams on remote patient monitoring initiatives; present findings to stakeholders.
"Government Institute of Management, Cuttack",Particle Physics,Wipro,6,0,offline,False,General,"Assist senior engineers/researchers on particle physics tasks, from requirements to testing and delivery."
"Sree Dattha Engineering College, Nainital",Sports Analytics,Practo,7,9755,hybrid,True,General,"Hands-on sports analytics internship: build, test and ship a real feature under a mentor."
"Government Engineering College, Kurnool",Strategy Consulting,ITC Limited,6,0,online,False,General,Collaborate across teams on strategy consulting initiatives; present findings to stakeholders.
"Government College of Engineering, Karaikal",Optimization Modelling,Voltas,9,0,offline,True,General,"Support data collection, analysis and reporting for the optimization modelling practice at Ahluwalia-Dugar."
"Government Engineering College, Kurnool",Skill Development,IBM India,9,11921,hybrid,True,General,Work on live projects with the Mital-Venkataraman skill development team; contribute to sprint deliverables and documentation.
"NMAM Institute of Technology and Science, Mysuru",Content Moderation,Hyundai India,9,11056,online,False,General,"Work on live projects with the Grover, Boase and Bains content moderation team; contribute to sprint deliverables and documentation."
"G.L. Bajaj Engineering College, Mysuru",GIS Mapping,Emami,7,0,online,False,General,"Support data collection, analysis and reporting for the gis mapping practice at Lal-Desai."
"K.S.R. Institute of Technology and Science, Mangaluru",Risk Management,Bata India,6,9977,offline,False,General,"Support data collection, analysis and reporting for the risk management practice at Grewal PLC."
"Kakatiya Engineering College, Pune",Differential Privacy,HP India,7,0,online,False,General,Collaborate across teams on differential privacy initiatives; present findings to stakeholders.
"Sri Indu College of Pharmacy and Research, Mysuru",SD-WAN,ReNew Power,9,6258,offline,True,General,"Support data collection, analysis and reporting for the sd-wan practice at Morar-Tandon."
"Manipal Institute of Technology and Science, Bengaluru",Prompt Engineering,Trent (Westside),8,8202,online,True,General,Work on live projects with the Konda LLC prompt engineering team; contribute to sprint deliverables and documentation.
"Lokmanya Institute of Applied Arts and Crafts, Kota",Aero-engines,Indian Oil,9,6859,online,False,General,"Assist senior engineers/researchers on aero-engines tasks, from requirements to testing and delivery."
"Siddhartha Engineering College, Varanasi",Executive Search,Ultratech Cement,9,10276,online,False,General,Learn industry workflows in executive search while supporting day-to-day operations and quality checks.
"K.S.R. Institute of Science and Technology, Ajmer",Solar Energy,Hindustan Aeronautics,6,0,online,False,General,Work on live projects with the Pradhan Ltd solar energy team; contribute to sprint deliverables and documentation.
"Vasavi College of Engineering and Technology, Purnia",Autonomous Driving,GAIL India,8,10384,offline,False,General,Learn industry workflows in autonomous driving while supporting day-to-day operations and quality checks.
"Gokaraju School of Architecture, Varanasi",Game Development,ISRO,6,7858,online,False,General,"Support data collection, analysis and reporting for the game development practice at Lata, Deshpande and Rao."
"Sree Dattha Institute of Management Studies, Rohtak",Sharding,NTPC,7,4293,offline,False,General,"Hands-on sharding internship: build, test and ship a real feature under a mentor."
"Galgotias Engineering College, Jabalpur",Perovskite Solar Cells,IRCTC,6,10802,online,False,General,Collaborate across teams on perovskite solar cells initiatives; present findings to stakeholders.
"Shri Institute of Engineering and Polytechnic, Kurnool",Metro Operations,Reliance Industries,6,0,online,False,General,Work on live projects with the Dora Inc metro operations team; contribute to sprint deliverables and documentation.
"BMS Engineering College, Thrissur",Feature Flags,Ola Electric,9,6421,offline,False,General,Learn industry workflows in feature flags while supporting day-to-day operations and quality checks.
"Government College of Pharmacy, Salem",Food Safety Standards,Adobe India,9,0,online,False,General,Collaborate across teams on food safety standards initiatives; present findings to stakeholders.
"Kalasalingam Institute of Engineering and Technology, Belagavi",Autonomous Vehicles,Power Grid Corporation,8,5364,offline,False,General,Collaborate across teams on autonomous vehicles initiatives; present findings to stakeholders.
"Nitte College of Engineering, Meerut",OAuth,Paytm,6,6437,online,False,General,Collaborate across teams on oauth initiatives; present findings to stakeholders.
"Kongu Institute of Engineering and Management, Guwahati",Road Safety,Stripe India,9,14324,offline,False,General,"Support data collection, analysis and reporting for the road safety practice at Zacharia-Badal."
"Velammal College of Engineering and Technology, Chennai",Exactly-once,Cisco India,9,0,offline,False,General,Work on live projects with the Halder Ltd exactly-once team; contribute to sprint deliverables and documentation.
"Lendi Pharmacy College, Alwar",Location Intelligence,Marico,7,10624,offline,True,General,"Support data collection, analysis and reporting for the location intelligence practice at Tank-Chandra."
"Manipal Institute of Technology and Science, Bengaluru",Experimental Design,Crompton,8,11981,hybrid,False,General,"Hands-on experimental design internship: build, test and ship a real feature under a mentor."
"Kalasalingam School of Planning and Architecture, Lucknow",Point-of-care Diagnostics,Swiggy,9,0,offline,False,Indian Army,"Hands-on point-of-care diagnostics internship: build, test and ship a real feature under a mentor."
"Matrusri Institute of Engineering and Management, Srinagar",Humanitarian Logistics,AICTE Internship Cell,8,0,online,False,General,"Hands-on humanitarian logistics internship: build, test and ship a real feature under a mentor."
"Government College of Management Studies, Kurnool",Industrial Automation,Godrej Industries,9,8719,offline,False,General,Collaborate across teams on industrial automation initiatives; present findings to stakeholders.
"Government College of Engineering, Adilabad",Advertising,ServiceNow India,6,0,hybrid,True,General,Learn industry workflows in advertising while supporting day-to-day operations and quality checks.
"PSG Engineering College, Durgapur",ESG Investing,Nykaa,7,0,online,False,General,"Support data collection, analysis and reporting for the esg investing practice at Agate LLC."
"Reva Institute of Technology and Science, Howrah",Fraud Scoring,Kotak Mahindra Bank,6,13484,online,False,General,"Hands-on fraud scoring internship: build, test and ship a real feature under a mentor."
"Dayananda Sagar Institute of Engineering and Management, Kadapa",Foundation Models,Reliance Industries,7,0,online,False,General,Collaborate across teams on foundation models initiatives; present findings to stakeholders.
"Government College of Engineering, Ahmedabad",Mechanical Design,Twitter/X India,7,6612,hybrid,False,General,"Hands-on mechanical design internship: build, test and ship a real feature under a mentor."
"CVR Institute of Applied Arts and Crafts, Tirunelveli",Diversity and Inclusion,FedEx India,6,0,hybrid,False,General,"Support data collection, analysis and reporting for the diversity and inclusion practice at Desai, Garg and Nayar."
"NMAM College of Pharmacy, Ludhiana",Microfluidics,Voltas,7,0,hybrid,False,General,Collaborate across teams on microfluidics initiatives; present findings to stakeholders.
"Government College of Management Studies, Tezpur",Location Intelligence,Shoppers Stop,6,5169,offline,False,General,Collaborate across teams on location intelligence initiatives; present findings to stakeholders.
"Vaagdevi School of Architecture, Sagar",Dead Letter Queue,Reliance Jio,8,3486,offline,False,General,"Assist senior engineers/researchers on dead letter queue tasks, from requirements to testing and delivery."
"Government Institute of Management, Anantapur",Public Sector Consulting,Britannia,6,11012,hybrid,True,General,Collaborate across teams on public sector consulting initiatives; present findings to stakeholders.
"Dayananda Sagar School of Planning and Architecture, Varanasi",Robotics,LTIMindtree,9,9548,offline,True,General,Collaborate across teams on robotics initiatives; present findings to stakeholders.
"Malla Reddy School of Architecture, Karaikal",Biosensors,RedBus,9,0,offline,False,General,"Assist senior engineers/researchers on biosensors tasks, from requirements to testing and delivery."
"Amity Institute of Polytechnic Studies, Lucknow",Highway Engineering,Tata Power,6,13672,offline,False,General,"Hands-on highway engineering internship: build, test and ship a real feature under a mentor."
"Sri Sathya Sai College of Engineering and Technology, Bhopal",Imaging AI,Practo,6,13448,online,False,General,Work on live projects with the Gopal PLC imaging ai team; contribute to sprint deliverables and documentation.
"Government College of Engineering, Alwar",Event-driven Architecture,Delhivery,8,10102,offline,False,General,"Support data collection, analysis and reporting for the event-driven architecture practice at Pal and Sons."
"Aditya School of Management, Ajmer",Performance Management,Tata Motors,9,0,online,False,General,"Assist senior engineers/researchers on performance management tasks, from requirements to testing and delivery."
"Government Institute of Pharmaceutical Sciences, Salem",KYC Operations,Tata Power,9,0,offline,False,CDAC,"Hands-on kyc operations internship: build, test and ship a real feature under a mentor."
"Hindustan Institute of Engineering and Management, Ballari",Railway Signalling,Marico,9,11049,offline,False,General,"Assist senior engineers/researchers on railway signalling tasks, from requirements to testing and delivery."
"Government College of Applied Arts, Daman",Impact Assessment,upGrad,8,0,online,False,General,"Work on live projects with the Balay, Bassi and Reddy impact assessment team; contribute to sprint deliverables and documentation."
"Matrusri Institute of Management Studies, Kurnool",Green Procurement,FedEx India,6,0,offline,False,General,"Support data collection, analysis and reporting for the green procurement practice at Vohra, Malhotra and Verma."
"Sri Venkateswara College of Engineering and Technology, Hubballi",Columnar Storage,Spotify India,7,6399,offline,False,General,Learn industry workflows in columnar storage while supporting day-to-day operations and quality checks.
"Sardar Institute of Technology, Kanpur",Conversational AI,Levi's India,9,9627,hybrid,False,General,Learn industry workflows in conversational ai while supporting day-to-day operations and quality checks.
"Government Engineering College, Madurai",Audit and Compliance,Emami,8,3253,offline,False,General,Work on live projects with the Walia Inc audit and compliance team; contribute to sprint deliverables and documentation.
"G.L. Bajaj College of Architecture and Planning, Udaipur",Key Management,Kotak Mahindra Bank,6,10489,online,False,General,"Assist senior engineers/researchers on key management tasks, from requirements to testing and delivery."
"Mahatma Gandhi Pharmacy College, Faridabad",Supplier Diversity,UNICEF India,6,6351,online,False,General,Learn industry workflows in supplier diversity while supporting day-to-day operations and quality checks.
"K.S.R. Institute of Technology and Science, Mangaluru",Sustainable Finance,ITC Limited,8,0,offline,False,General,Learn industry workflows in sustainable finance while supporting day-to-day operations and quality checks.
"Vasavi Institute of Engineering and Management, Jodhpur",Contrastive Learning,FedEx India,6,9498,hybrid,False,General,"Support data collection, analysis and reporting for the contrastive learning practice at Som, Mangat and Bawa."
"Anurag Institute of Science and Technology, Guntur",Marine Biology,Siemens India,6,0,hybrid,False,General,"Assist senior engineers/researchers on marine biology tasks, from requirements to testing and delivery."
"Dr. B.R. Ambedkar Institute of Science and Technology, Salem",Circuit Breaker,Practo,8,11511,offline,False,Indian Army,"Support data collection, analysis and reporting for the circuit breaker practice at Uppal, Mukherjee and Nagarajan."
"Kalinga Engineering College, Nagpur",Secure Boot,upGrad,7,5003,online,False,General,"Assist senior engineers/researchers on secure boot tasks, from requirements to testing and delivery."
"Lovely Institute of Technology, Meerut",Planetary Science,ReNew Power,7,8655,offline,False,General,"Work on live projects with the Pingle, Nazareth and Shah planetary science team; contribute to sprint deliverables and documentation."
"Srinivasa College of Architecture, Thanjavur",Interior Design,Railway Board,6,0,offline,False,General,"Support data collection, analysis and reporting for the interior design practice at Sama Group."
"Andhra Institute of Management Studies, Bokaro",Developer Relations,Vedanta,6,0,offline,False,General,"Assist senior engineers/researchers on developer relations tasks, from requirements to testing and delivery."
"Kalasalingam Institute of Science and Technology, Dhanbad",Logistics,Kotak Mahindra Bank,8,0,offline,False,General,"Hands-on logistics internship: build, test and ship a real feature under a mentor."
"Girijananda Chowdhury College of Engineering and Technology, Vizianagaram",Agriculture Technology,AICTE Internship Cell,7,5437,hybrid,False,General,"Hands-on agriculture technology internship: build, test and ship a real feature under a mentor."
"Anurag College of Architecture and Planning, Tirunelveli",Point-of-care Diagnostics,Tech Mahindra,6,7792,offline,False,General,"Support data collection, analysis and reporting for the point-of-care diagnostics practice at Pradhan, Kurian and Suri."
"Government College of Pharmacy, Salem",Bot Detection,Myntra,9,12030,hybrid,False,General,"Hands-on bot detection internship: build, test and ship a real feature under a mentor."
"Government Institute of Management, Pune",DevOps,MakeMyTrip,7,13669,offline,False,TULIP,Collaborate across teams on devops initiatives; present findings to stakeholders.
"Chaitanya Institute of Engineering and Technology, Ujjain",Raft,GAIL India,6,7598,hybrid,False,General,"Work on live projects with the Narayanan, Zacharia and Virk raft team; contribute to sprint deliverables and documentation."
"Jain Institute of Technology and Science, Junagadh",Full-Stack Development,Shoppers Stop,9,7106,offline,False,General,Learn industry workflows in full-stack development while supporting day-to-day operations and quality checks.
"PES School of Business Administration, Thrissur",Bioelectronics,Myntra,6,0,online,False,General,"Hands-on bioelectronics internship: build, test and ship a real feature under a mentor."
"Galgotias Engineering College, Karimnagar",Mining Engineering,Blinkit,8,4556,offline,False,General,"Support data collection, analysis and reporting for the mining engineering practice at Choudhry Group."
"Symbiosis Institute of Engineering and Management, Hyderabad",Quality Assurance,Zara India,7,0,hybrid,True,General,Learn industry workflows in quality assurance while supporting day-to-day operations and quality checks.
"Government Institute of Management, Visakhapatnam",Dairy Technology,Indian Army (Technical),6,12975,online,False,General,"Support data collection, analysis and reporting for the dairy technology practice at Subramaniam-Ramakrishnan."
"NMAM Institute of Technology and Science, Mysuru",Attack Surface Management,ServiceNow India,7,12810,offline,True,General,"Assist senior engineers/researchers on attack surface management tasks, from requirements to testing and delivery."
"Shri Institute of Technology, Purnia",Geology,Suzlon,6,0,offline,False,General,Work on live projects with the Khurana Inc geology team; contribute to sprint deliverables and documentation.
"Kumaraguru Institute of Technology, Varanasi",Database Administration,Razorpay,9,8147,offline,False,General,"Support data collection, analysis and reporting for the database administration practice at Deshmukh LLC."
"Mahatma Gandhi Engineering College, Sagar",Forensic Psychology,Wipro,6,12066,offline,False,General,Learn industry workflows in forensic psychology while supporting day-to-day operations and quality checks.
"Government School of Architecture, Varanasi",Data Engineering,Hindustan Aeronautics,8,3565,hybrid,False,General,"Hands-on data engineering internship: build, test and ship a real feature under a mentor."
"Sinhgad Institute of Science and Technology, Ballari",Business Continuity,Meesho,7,0,offline,False,General,Collaborate across teams on business continuity initiatives; present findings to stakeholders.
"Chaitanya Engineering College, Vijayawada",Triage,Adani Group,6,0,hybrid,False,General,Work on live projects with the Ravel Ltd triage team; contribute to sprint deliverables and documentation.
"Lokmanya Institute of Applied Arts and Crafts, Kota",Microbiology,NTPC,8,0,offline,False,General,"Assist senior engineers/researchers on microbiology tasks, from requirements to testing and delivery."
"Ideal Institute of Engineering and Polytechnic, South Goa",Confidential Computing,Zara India,8,12816,offline,False,CDAC,Collaborate across teams on confidential computing initiatives; present findings to stakeholders.
"Sri Indu College of Engineering and Technology, Bengaluru",Pub/Sub,Mahindra & Mahindra,6,14081,online,False,TULIP,Learn industry workflows in pub/sub while supporting day-to-day operations and quality checks.
"SRM College of Engineering, Balasore",Drone Technology,Trent (Westside),7,13168,online,False,General,"Support data collection, analysis and reporting for the drone technology practice at Hans, Bhardwaj and Zachariah."
"Government Institute of Applied Arts, Jamshedpur",Cubesat Development,Blue Dart,6,0,offline,False,General,"Assist senior engineers/researchers on cubesat development tasks, from requirements to testing and delivery."
"Raghu College of Applied Arts, Junagadh",Vehicle Telematics,Honeywell India,9,10512,online,False,General,Learn industry workflows in vehicle telematics while supporting day-to-day operations and quality checks.
"Matrusri Institute of Engineering and Management, Srinagar",Knowledge Management,Twitter/X India,8,11824,online,False,CDAC,Collaborate across teams on knowledge management initiatives; present findings to stakeholders.
"Shri Institute of Engineering and Management, Siddipet",Blockchain Development,Marico,8,12802,offline,False,General,"Assist senior engineers/researchers on blockchain development tasks, from requirements to testing and delivery."
"Nitte College of Engineering, Meerut",Smart Metering,Honeywell India,9,0,hybrid,False,General,Collaborate across teams on smart metering initiatives; present findings to stakeholders.
"Vishwakarma Institute of Engineering and Technology, Bilaspur",Identity Verification,Swiggy,8,0,online,True,General,Learn industry workflows in identity verification while supporting day-to-day operations and quality checks.
"Government Institute of Pharmaceutical Sciences, Salem",Composites,Amul,8,0,online,False,CDAC,"Hands-on composites internship: build, test and ship a real feature under a mentor."
"Anurag Polytechnic, Amritsar",Resilience Testing,JSW Steel,9,10041,offline,False,General,"Assist senior engineers/researchers on resilience testing tasks, from requirements to testing and delivery."
"National Institute of Technology, Allahabad",Humanoid Robotics,Godrej Industries,9,6182,hybrid,False,TULIP,Collaborate across teams on humanoid robotics initiatives; present findings to stakeholders.
"Hindustan Institute of Engineering and Management, Durgapur",Disk Forensics,Rapido,7,3642,offline,False,General,Collaborate across teams on disk forensics initiatives; present findings to stakeholders.
"Bapatla Institute of Management and Technology, Salem",Low-code Development,Dell Technologies,8,0,offline,False,General,"Support data collection, analysis and reporting for the low-code development practice at Bhasin, Patla and Prashad."
"Government Engineering College, Bhubaneswar",ERP Implementation,Unacademy,7,12317,offline,True,TULIP,"Assist senior engineers/researchers on erp implementation tasks, from requirements to testing and delivery."
"Government Polytechnic, Panipat",Explainable AI,Porter,8,12312,offline,False,General,"Assist senior engineers/researchers on explainable ai tasks, from requirements to testing and delivery."
"Government Engineering College, Udaipur",Banking Operations,Ola,6,3120,hybrid,False,General,Learn industry workflows in banking operations while supporting day-to-day operations and quality checks.
"Anurag Institute of Technology and Science, Aurangabad",Corporate Governance,Capgemini,8,14430,hybrid,True,General,"Hands-on corporate governance internship: build, test and ship a real feature under a mentor."
"Ideal College of Engineering and Technology, Jodhpur",Implant Design,Vedantu,8,0,offline,False,General,Collaborate across teams on implant design initiatives; present findings to stakeholders.
"PES College of Engineering, Surat",Interior Design,H&M India,7,0,online,True,TULIP,"Work on live projects with the Bhardwaj, Choudhry and Buch interior design team; contribute to sprint deliverables and documentation."
"Bharath Institute of Pharmaceutical Sciences, Siddipet",Cryo-EM,Treebo,6,3579,online,False,TULIP,Learn industry workflows in cryo-em while supporting day-to-day operations and quality checks.
"Lokmanya Institute of Technology, Jamshedpur",Poultry Science,Crompton,6,5523,hybrid,False,General,"Support data collection, analysis and reporting for the poultry science practice at Wali, Sekhon and Thakur."
"K.S.R. Institute of Technology and Science, Bengaluru",Key Management,IRCTC,7,4000,online,False,General,Collaborate across teams on key management initiatives; present findings to stakeholders.
"BMS Institute of Technology, Amravati",Corporate Governance,MakeMyTrip,9,10938,hybrid,True,General,Collaborate across teams on corporate governance initiatives; present findings to stakeholders.
"Christ Engineering College, Ahmedabad",Aircraft Maintenance,Dunzo,8,13369,online,False,General,Learn industry workflows in aircraft maintenance while supporting day-to-day operations and quality checks.
"Guru Nanak Institute of Technology, Nizamabad",Bot Detection,Adani Green Energy,9,5639,offline,True,General,"Hands-on bot detection internship: build, test and ship a real feature under a mentor."
"Government School of Architecture, Varanasi",Algorithmic Trading,Adobe India,9,7492,hybrid,False,General,"Work on live projects with the Swaminathan, Shah and Parsa algorithmic trading team; contribute to sprint deliverables and documentation."
"D.Y. Patil School of Business Administration, Korba",Go-live Support,Bharti Airtel,8,0,offline,False,CDAC,"Hands-on go-live support internship: build, test and ship a real feature under a mentor."
"Shri Institute of Engineering and Polytechnic, Kurnool",Route Optimization,GAIL India,7,6267,online,False,General,Work on live projects with the Agrawal-Saraf route optimization team; contribute to sprint deliverables and documentation.
